info: Example app listening on port 1600! || timestamp: 03-06-2023 2:09:0 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:09:0 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:09:5 PM 
info: Payload validation check || timestamp: 03-06-2023 2:09:5 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:09:5 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:09:5 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:10:13 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:10:14 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:10:14 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:10:15 PM 
info: Payload validation check || timestamp: 03-06-2023 2:10:15 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:10:15 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:10:15 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:10:51 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:10:52 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:10:52 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:10:54 PM 
info: Payload validation check || timestamp: 03-06-2023 2:10:54 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:10:54 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:10:54 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:11:21 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:11:22 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:11:22 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:11:24 PM 
info: Payload validation check || timestamp: 03-06-2023 2:11:24 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:11:24 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:11:24 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 2:11:25 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 2:11:27 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:11:28 PM 
info: Payload validation check || timestamp: 03-06-2023 2:11:28 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:11:28 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:11:28 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:33:28 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:33:29 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:33:29 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:33:34 PM 
info: Payload validation check || timestamp: 03-06-2023 2:33:34 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:33:34 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:33:34 PM 
error: htmlToSend is not defined || timestamp: 03-06-2023 2:33:34 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:34:16 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:34:17 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:34:17 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:34:19 PM 
info: Payload validation check || timestamp: 03-06-2023 2:34:19 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:34:19 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:34:19 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 2:34:20 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 2:34:21 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:35:17 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:35:18 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:35:18 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:35:25 PM 
info: Payload validation check || timestamp: 03-06-2023 2:35:25 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:35:25 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:35:25 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 2:35:27 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 2:35:28 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:37:26 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:37:27 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:37:27 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:37:31 PM 
info: Payload validation check || timestamp: 03-06-2023 2:37:31 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:37:31 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:37:31 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:37:40 PM 
info: Payload validation check || timestamp: 03-06-2023 2:37:40 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:37:40 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:37:40 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:41:50 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:41:51 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:41:51 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:41:52 PM 
info: Payload validation check || timestamp: 03-06-2023 2:41:52 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:41:52 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:41:52 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:46:20 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:46:22 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:46:22 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:46:25 PM 
info: Payload validation check || timestamp: 03-06-2023 2:46:25 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:46:25 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:46:25 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:47:11 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:47:12 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:47:12 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:47:15 PM 
info: Payload validation check || timestamp: 03-06-2023 2:47:15 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:47:15 PM 
error: Contact user reached limit || timestamp: 03-06-2023 2:47:15 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:47:21 PM 
info: Payload validation check || timestamp: 03-06-2023 2:47:21 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:47:21 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:47:21 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 2:57:39 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 2:57:40 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 2:57:40 PM 
info: Submit API hit reached || timestamp: 03-06-2023 2:57:44 PM 
info: Payload validation check || timestamp: 03-06-2023 2:57:44 PM 
info: Payload validation successfull || timestamp: 03-06-2023 2:57:44 PM 
info: data inserted to DB || timestamp: 03-06-2023 2:57:44 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:02:44 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:02:45 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:02:45 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:02:53 PM 
info: Payload validation check || timestamp: 03-06-2023 3:02:53 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:02:53 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:02:53 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:02:56 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 3:02:57 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:39:49 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:39:50 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:39:50 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:40:8 PM 
info: Payload validation check || timestamp: 03-06-2023 3:40:8 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:40:8 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:40:8 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:40:9 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:42:19 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 3:42:20 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 3:42:20 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:42:22 PM 
info: Payload validation check || timestamp: 03-06-2023 3:42:22 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:42:22 PM 
error: Contact user reached limit || timestamp: 03-06-2023 3:42:22 PM 
info: Submit API hit reached || timestamp: 03-06-2023 3:42:28 PM 
info: Payload validation check || timestamp: 03-06-2023 3:42:28 PM 
info: Payload validation successfull || timestamp: 03-06-2023 3:42:28 PM 
info: data inserted to DB || timestamp: 03-06-2023 3:42:28 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 3:42:29 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 3:43:42 PM 
