info: Payload validation check || timestamp: 22-07-2023 12:30:58 PM 
error: Payload validation Error: Value should be max Three letters || timestamp: 22-07-2023 12:30:58 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:32:20 PM 
info: Payload validation check || timestamp: 22-07-2023 12:32:20 PM 
error: Payload validation Error: Value should be max Three letters || timestamp: 22-07-2023 12:32:20 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:34:48 PM 
info: Payload validation check || timestamp: 22-07-2023 12:34:48 PM 
error: Payload validation Error: Value should be max Three letters || timestamp: 22-07-2023 12:34:48 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:34:57 PM 
info: Payload validation check || timestamp: 22-07-2023 12:34:57 PM 
error: Payload validation Error: Value should be max Three letters || timestamp: 22-07-2023 12:34:57 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:34:57 PM 
info: Payload validation check || timestamp: 22-07-2023 12:34:57 PM 
error: Payload validation Error: Value should be max Three letters || timestamp: 22-07-2023 12:34:57 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:37:37 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:37:38 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:37:38 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 12:39:45 PM 
info: login hit received || timestamp: 22-07-2023 12:39:50 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:39:50 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:39:50 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:40:38 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:40:38 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 12:40:44 PM 
info: login hit received || timestamp: 22-07-2023 12:40:46 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:40:46 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:40:46 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:41:11 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:41:12 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:41:12 PM 
info: Base URL :: localhost:1600 || timestamp: 22-07-2023 12:41:13 PM 
info: login hit received || timestamp: 22-07-2023 12:41:16 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 12:41:16 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 12:41:16 PM 
